classification,created_at,created_by,is_cold_storage,is_habit_forming,name
HD,2018-01-19T07:47:36.504Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Magnesium Sulphate
HD,2018-01-19T07:47:37.241Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Piperacillin
"",,,false,false,Ambroxol
"",,,false,false,Guaiphenesin
HD,2018-01-19T07:47:37.986Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Terbutaline
HD,2018-01-19T07:47:38.128Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Diastase
HD,2018-01-19T07:47:38.130Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Pepsin
"",,,false,false,Cyproheptadine
NSD,2018-01-19T07:47:38.988Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Tricholine Citrate
"",,,false,false,Cefpodoxime
"",,,false,false,Surgicals
HD,2018-01-19T07:47:53.239Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Alpha Lipoic Acid
HD,2018-01-19T07:47:53.241Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Benfotiamine
"",,,false,false,Clonazepam
"",,,false,false,Escitalopram
"",,,false,false,Febuxostat
"",,,false,false,Gliclazide
"",,,false,false,Metformin
"",,,false,false,Calcium
HD,2018-01-19T07:47:57.334Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Carotenoids
HD,2018-01-19T07:47:57.695Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Spirulina
HD,2018-01-19T07:47:57.853Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Ayurvedic Product
"",,,false,false,Biotin
"",,,false,false,Antioxidants
HD,2018-01-19T07:47:58.733Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Chromium
"",,,false,false,Pioglitazone
"",,,false,false,Ramipril
"",,,false,false,Amlodipine
"",,,false,false,Atenolol
"",,,false,false,Atorvastatin
HD,2018-01-19T07:48:01.242Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Glucosamine Sulphate
HD,2018-01-19T07:48:01.244Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Chondroitin
HD,2018-01-19T07:48:01.246Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Diacerein
HD,2018-01-19T07:48:01.408Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Methyl Sulfonyl Methane(Msm)
"",,,false,false,Nimesulide
H1D,2018-01-19T07:48:02.500Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Sparfloxacin
HD,2018-01-19T07:48:02.641Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Alfacalcidol
HD,2018-01-19T07:48:03.251Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Chlorpheniramine
"",,,false,false,Silymarin
HD,2018-01-19T07:48:03.403Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,L-Ornithine-L-Aspartate
OTC,2018-01-19T07:48:03.704Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Proteins
HD,2018-01-19T07:48:04.014Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Linseed Oil
HD,2018-01-19T07:48:04.017Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Methyl Salicylate
"",,,false,false,Chlordiazepoxide
H1D,2018-01-19T07:48:04.769Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Trifluoperazine
H1D,2018-01-19T07:48:05.207Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Diazepam
H1D,2018-01-19T07:48:05.209Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Imipramine
H1D,2018-01-19T07:48:05.507Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Nitrazepam
H1D,2018-01-19T07:48:05.805Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Alprazolam
"",,,false,false,Amitriptyline
H1D,2018-01-19T07:48:06.553Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Procyclidine
"",,,false,false,Fluoxetine
"",,,false,false,Olanzapine
"",,,false,false,Nortriptyline
HD,2018-01-19T07:48:10.626Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Pimozide
HD,2018-01-19T07:48:10.971Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Chlorpromazine
HD,2018-01-19T07:48:11.578Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Trihexyphenidyl
HD,2018-01-19T07:48:11.724Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Cinnarizine
"",,,false,false,Clomipramine
"",,,false,false,Flunarizine
HD,2018-01-19T07:48:12.912Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Haloperidol
"",,,false,false,Piracetam
"",,,false,false,Risperidone
HD,2018-01-19T07:48:16.086Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Phenytoin Sodium
"",,,false,false,Promethazine
HD,2018-01-19T07:48:16.541Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Thioridazine
HD,2018-01-19T07:48:16.990Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Valproicacid
"",,,false,false,Doxycycline
"",,,false,false,Propranolol
"",,,false,false,Prochlorperazine
HD,2018-01-19T07:48:18.357Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Carbamazepine
HD,2018-01-19T07:48:18.499Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Betahistine
"",,,false,false,Lansoprazole
"",,,false,false,Omeprazole
HD,2018-01-19T07:48:22.754Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Sibutramine
"",,,false,false,Ciprofloxacin
HD,,,false,false,Chlorthalidone
"",,,false,false,Minerals
"",,,false,false,Glimepiride
"",,,false,false,Dicyclomine
HD,2018-01-19T07:48:25.108Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Mefenamic Acid
"",,,false,false,Ranitidine
"",,,false,false,Luliconazole
"",,,false,false,Meropenem
HD,2018-01-19T07:48:27.750Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Colistimethate
H1D,2018-01-19T07:48:28.058Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Cilastatin
H1D,2018-01-19T07:48:28.060Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Imipenem
HD,2018-01-19T07:48:28.507Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Vasopressin
HD,2018-01-19T07:48:28.664Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Terlipressin
HD,2018-01-19T07:48:28.801Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Calcium Folinate (Leucovorin)
"",,,false,false,Lactulose(lactitol)
"",,,false,false,L-arginine saw palmetto
"",,,false,false," dipropionate "
"",,,false,false," clotimazole"
"",,,false,false," ala"
"",,,false,false,Methylcolbalamin
"",,,false,false,Liquid paraffin
"",,,false,false,Magnesium hydroxide
"",,,false,false,Sodium picosulfate
"",,,false,false,Milk of magnesia (magnesium hydroxide)
"",,,false,false,Clidinium bromide
"",,,false,false,Olmesartan medoxomil 20mg & amlodipine 5 mg
"",,,false,false,Solifenacin succinate
"",,,false,false,Telmisartan  & chlorthalidone
"",,,false,false,Vitamin -e
"",,,false,false,Lifcare
"",,,false,false,Collgen
"",,,false,false," glucosamine"
"",,,false,false,White soft paraffin
"",,,false,false,Ascorbic acid (vit c)
"",,,false,false,Ayurvedic product
"",,,false,false,Consumer products
"",,,false,false," green tea extract"
"",,,false,false," ginkog biloba"
"",,,false,false," lactic acid baccillus"
"",,,false,false," lycopene etc........"
"",,,false,false,"Propylene glycol,glycerine"
"",,,false,false,"Methycobalamin "
"",,,false,false,"Alpha lipha "
"",,,false,false,Tooth paste
"",,,false,false,Pyridoxine
"",,,false,false,Sertaconazole nitrate
"",,,false,false,Propylene glycol
"",,,false,false,Coaltar
"",,,false,false,Salicylic
"",,,false,false,Cod liver oil
"",,,false,false,Unsure default
"",,,false,false,Loteprednol etabonate
"",,,false,false,Fusidic acid
"",,,false,false,Ferrous ascorbate
"",,,false,false,White soft parafin
"",,,false,false,Escitalopram & clonazepam
"",,,false,false,Omeprazole & domperidone
"",,,false,false,"Green apple extract "
"",,,false,false,2 aminoethansesulfonic acid
"",,,false,false,",calcium pantothenate"
"",,,false,false,Macrogol
"",,,false,false,Depigmenting cream
"",,,false,false,Probiotics
"",,,false,false,Rabeprazole gastro
"",,,false,false,Laxatives
"",,,false,false,Purgatives
"",,,false,false,"Azilsartan "
"",,,false,false,"Medoxomil "
"",,,false,false," chlorthalidone"
"",,,false,false,Multivitamin  & multimineral
"",,,false,false,Diclofenac
"",,,false,false," diethylamine virgin"
"",,,false,false," linseed oil"
"",,,false,false,Acetylcysteine
NSD,2018-01-19T07:48:29.415Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Noradrenaline
HD,2018-01-19T07:48:29.705Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Labetalol
HD,2018-01-19T07:48:29.858Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Dopamine
HD,2018-01-19T07:48:30.136Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Nitroglycerin (Glyceryl Trinitrate)
NSD,2018-01-19T07:48:30.288Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Aprepitant
HD,2018-01-19T07:48:30.656Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Temozolomide
"",,,false,false,Devices
HD,2018-01-19T07:48:31.249Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Omega 3 Fatty Acid
HD,2018-01-19T07:48:31.251Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Pyridoxine (Vit B6)
"",,,false,false,Pregabalin
"",,,false,false,Thiocolchicoside
HD,2018-01-19T07:48:33.564Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Methotrexate
"",,,false,false,Bromelain
HD,2018-01-19T07:48:34.014Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Rutoside
HD,2018-01-19T07:48:34.016Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Trypsin Chymotrypsin
"",,,false,false,Anastrozole
HD,2018-01-19T07:48:34.311Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Capecitabine
HD,2018-01-19T07:48:34.449Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Megestrol Acetate
HD,2018-01-19T07:48:34.963Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Gefitinib
HD,2018-01-19T07:48:35.422Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Teicoplanin
HD,2018-01-19T07:48:36.185Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Zoledronic Acid
HD,2018-01-19T07:48:36.324Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Paclitaxel
HD,2018-01-19T07:48:36.771Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Doxorubicin
HD,2018-01-19T07:48:37.051Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Gemcitabine
HD,2018-01-19T07:48:37.352Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Pemetrexed
HD,2018-01-19T07:48:37.692Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Docetaxel
"",,,false,false,Oxaliplatin
OTC,2018-01-19T07:48:38.611Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Ispaghula Husk
HD,2018-01-19T07:48:38.986Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Granisetron Hydrochloride
HD,2018-01-19T07:48:39.818Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Palonosetron Hydrochloride
"",,,false,false,Fluconazole
"",,,false,false,Secnidazole
HD,2018-01-19T07:48:40.118Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Fructo Oligosaccharide
HD,2018-01-19T07:48:40.120Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Lactic Acid Bacillus
"",,,false,false,Clotrimazole
"",,,false,false,Clindamycin
"",,,false,false,Linezolid
H1D,2018-01-19T07:48:40.718Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Gemifloxacin Mesylate
HD,2018-01-19T07:48:41.003Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Artemether
HD,2018-01-19T07:48:41.005Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Lumefantrine
"",,,false,false,Racecadotril
HD,2018-01-19T07:48:42.513Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Dexrabeprazole
HD,2018-01-19T07:48:42.665Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Dicloxacillin
"",,,false,false,Acebrophylline
HD,2018-01-19T07:48:43.266Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Docosahexaenoic Acid(Dha)
HD,2018-01-19T07:48:43.417Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Eicosapentaenoic(Epa)
HD,2018-01-19T07:48:44.535Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Isoxsuprine
"",,,false,false,Levosulpiride
"",,,false,false,Progesterone
HD,2018-01-19T07:48:45.796Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Itopride
HD,2018-01-19T07:48:46.671Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Etodolac
HD,2018-01-19T07:48:46.975Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Flavoxate
HD,2018-01-19T07:48:47.419Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Mebeverine
"",,,false,false,Nitazoxanide
HD,2018-01-19T07:48:47.705Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Cysteine
HD,2018-01-19T07:48:47.707Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Methionine
HD,2018-01-19T07:48:47.980Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Quinine Sulphate
HD,2018-01-19T07:48:48.424Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Doxofylline
HD,2018-01-19T07:48:48.715Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Lornoxicam
"",,,false,false,Tapentadol
HD,2018-01-19T07:48:49.331Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Calcium Orotate
HD,2018-01-19T07:48:49.480Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Sodium Tauroglycocholate
"",,,false,false,Dimethicone
"",,,false,false,Pancreatin
"",,,false,false,Deflazacort
HD,2018-01-19T07:48:49.924Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Ursodiol (Ursodeoxycholic Acid)
"",,,false,false,Iron
HD,2018-01-19T07:48:50.394Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Diethylcarbamazine
"",,,false,false,Clopidogrel
"",,,false,false,Hydrochlorothiazide
"",,,false,false,Losartan
"",,,false,false,Telmisartan
"",,,false,false,Metoprolol
"",,,false,false,Aspirin
HD,2018-01-19T07:48:53.846Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Ezetimibe
"",,,false,false,Fenofibrate
"",,,false,false,Olmesartan
"",,,false,false,Voglibose
H1D,2018-01-19T07:48:58.036Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Clidinium Bromide
"",,,false,false,Levofloxacin
H1D,2018-01-19T07:48:58.930Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Caffeine
H1D,2018-01-19T07:48:59.386Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Ergotamine
HD,2018-01-19T07:48:59.988Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Drotaverine
HD,2018-01-19T07:49:00.768Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Pseudoephedrine
"",,,false,false,Chlorzoxazone
HD,2018-01-19T07:49:01.539Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Nebivolol
HD,2018-01-19T07:49:02.855Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,S Amlodipine
HD,2018-01-19T07:49:03.643Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Allopurinol
"",,,false,false,Etoricoxib
HD,2018-01-19T07:49:04.487Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Doxylamine Succinate
"",,,false,false,Ondansetron
HD,2018-01-19T07:49:05.287Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Methyl Prednisolone
H1D,2018-01-19T07:49:05.449Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Tramadol
HD,2018-01-19T07:49:06.534Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Ferrous Fumarate
HD,2018-01-19T07:49:07.302Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Artesunate
HD,2018-01-19T07:49:10.568Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Nandrolone Decanoate
"",,,false,false,Halobetasol
NSD,2018-01-19T07:49:11.025Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Salicylic Acid
"",,,false,false,Aloevera
"",,,false,false,Calamine
HD,2018-01-19T07:49:11.172Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Liquid Paraffin
"",,,false,false,Chlorhexidine
HD,2018-01-19T07:49:11.325Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Sodium Fluoride
"",,,false,false,Bromhexine
HD,2018-01-19T07:49:11.775Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Lactulose(Lactitol)
"",,,false,false,Oxetacaine
"",,,false,false,Sucralfate
H1D,2018-01-19T07:49:12.854Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Codeine Phosphate
HD,2018-01-19T07:49:13.197Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Citrus Bioflavonoids
HD,2018-01-19T07:49:13.199Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Potassium Citrate
"",,,false,false,Beclomethasone
"",,,false,false,Neomycin
HD,2018-01-19T07:49:14.391Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Magaldrate
"",,,false,false,Simethicone
NSD,2018-01-19T07:49:14.545Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Quinine Dihydrochloride
HD,2018-01-19T07:49:14.980Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Amikacin
"",,,false,false,Nicotinamide
HD,2018-01-19T07:49:15.587Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Alpha/Beta Arteether
HD,2018-01-19T07:49:15.739Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Iron Sucrose
"",,,false,false,Sorbitol
HD,2018-01-19T07:49:16.947Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Calcium Gluconate
HD,2018-01-19T07:49:16.949Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Calcium Lactate
HD,2018-01-19T07:49:16.951Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,L Lysine
"",,,false,false,Capsaicin
HD,2018-01-19T07:49:18.750Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Sucralose
HD,2018-01-19T07:49:18.753Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Dextrose Electrolytes
